,차종,전장(mm),전폭(㎜),전고(㎜),축거(㎜)
0,차종,전장(mm),전폭(㎜),전고(㎜),축거(㎜)
1,르노삼성 SM3 네오::PE,"4,620","1,810","1,475","2,700"
2,르노삼성 SM3 네오::SE,"4,620","1,810","1,475","2,700"
3,르노삼성 SM3 네오::LE,"4,620","1,810","1,475","2,700"
4,르노삼성 SM3 네오::RE,"4,620","1,810","1,475","2,700"
1,쉐보레 트랙스::LS,"4,245","1,775","1,670","2,555"
2,쉐보레 트랙스::LS 디럭스,"4,245","1,775","1,670","2,555"
3,쉐보레 트랙스::LT,"4,245","1,775","1,670","2,555"
4,쉐보레 트랙스::LT 레더 패키지,"4,245","1,775","1,670","2,555"
5,쉐보레 트랙스::LTZ,"4,245","1,775","1,670","2,555"
6,쉐보레 트랙스::스페셜 에디션 프리미엄,"4,245","1,775","1,670","2,555"
1,쉐보레 말리부::2.0 LS 디럭스팩,"4,865","1,855","1,465","2,737"
2,쉐보레 말리부::2.0 LT,"4,865","1,855","1,465","2,737"
3,쉐보레 말리부::2.0 LT 디럭스팩,"4,865","1,855","1,465","2,737"
4,쉐보레 말리부::2.0 LTZ,"4,865","1,855","1,465","2,737"
5,쉐보레 말리부::2.0 LTZ 디럭스팩 (블랙휠),"4,865","1,855","1,465","2,737"
6,쉐보레 말리부::2.4 LTZ (블랙휠),"4,865","1,855","1,465","2,737"
1,쉐보레 말리부::LS 디럭스 팩,"4,865","1,855","1,465","2,737"
2,쉐보레 말리부::LT 디럭스 팩,"4,865","1,855","1,465","2,737"
3,쉐보레 말리부::LT 프리미엄 팩,"4,865","1,855","1,465","2,737"
1,쉐보레 말리부::2.0 LPGi LT,"4,865","1,855","1,465","2,737"
2,쉐보레 말리부::2.0 LPGi LT 디럭스팩,"4,865","1,855","1,465","2,737"
3,쉐보레 말리부::2.0 LPGi LTZ,"4,865","1,855","1,465","2,737"
4,쉐보레 말리부::2.0 LPGi LTZ 디럭스팩 (블랙휠),"4,865","1,855","1,465","2,737"
1,쉐보레 올란도::LS 고급형,"4,665","1,835","1,635","2,760"
2,쉐보레 올란도::LT 프리미엄,"4,665","1,835","1,635","2,760"
3,쉐보레 올란도::LT 세이프티,"4,665","1,835","1,635","2,760"
4,쉐보레 올란도::LTZ 프리미엄,"4,665","1,835","1,635","2,760"
5,쉐보레 올란도::LTZ 세이프티,"4,665","1,835","1,635","2,760"
6,쉐보레 올란도::스페셜 에디션 플래티넘,"4,665","1,835","1,635","2,760"
7,쉐보레 올란도::스페셜 에디션 캠퍼,"4,665","1,835","1,635","2,760"
1,쉐보레 올란도::LS 고급형,"4,665","1,835","1,635","2,760"
2,쉐보레 올란도::LT 프리미엄,"4,665","1,835","1,635","2,760"
3,쉐보레 올란도::LT 세이프티,"4,665","1,835","1,635","2,760"
4,쉐보레 올란도::LTZ 프리미엄,"4,665","1,835","1,635","2,760"
5,쉐보레 올란도::LTZ 세이프티,"4,665","1,835","1,635","2,760"
6,쉐보레 올란도::스페셜 에디션 플래티넘,"4,665","1,835","1,635","2,760"
7,쉐보레 올란도::스페셜 에디션 캠퍼,"4,665","1,835","1,635","2,760"
1,한국GM 다마스::5인승 Libig,"3,485","1,400","1,920","1,840"
2,한국GM 다마스::5인승 SUPER,"3,485","1,400","1,920","1,840"
1,한국GM 다마스::2인승 판넬밴 DLX,"3,485","1,400","1,920","1,840"
2,한국GM 다마스::2인승 판넬밴 SUPER,"3,485","1,400","1,920","1,840"
1,한국GM 라보::일반형 STD,"3,235","1,400","1,800","1,840"
2,한국GM 라보::일반형 DLX,"3,235","1,400","1,800","1,840"
3,한국GM 라보::롱카고 DLX,"3,495","1,400","1,800","1,840"
4,한국GM 라보::롱카고 SUPER,"3,495","1,400","1,800","1,840"
1,한국GM 라보::보냉탑차 일반형,0.8 LPGi,796,"43 / 5,000","6.7 / 4,000"
2,한국GM 라보::내장탑차 롱카고,0.8 LPGi,796,"43 / 5,000","6.7 / 4,000"
3,한국GM 라보::탑차 롱카고,0.8 LPGi,796,"43 / 5,000","6.7 / 4,000"
4,한국GM 라보::접이식탑차 롱카고,0.8 LPGi,796,"43 / 5,000","6.7 / 4,000"
1,기아 더 뉴 스포티지 R::럭셔리,"4,440","1,855","1,635","2,640"
2,기아 더 뉴 스포티지 R::럭셔리,"4,440","1,855","1,635","2,640"
3,기아 더 뉴 스포티지 R::트렌디,"4,440","1,855","1,645","2,640"
4,기아 더 뉴 스포티지 R::에이스,"4,440","1,855","1,645","2,640"
5,기아 더 뉴 스포티지 R::프레스티지,"4,440","1,855","1,645","2,640"
6,기아 더 뉴 스포티지 R::노블레스,"4,440","1,855","1,645","2,640"
1,기아 더 뉴 스포티지 R::에이스,"4,440","1,855","1,645","2,640"
2,기아 더 뉴 스포티지 R::프레스티지,"4,440","1,855","1,645","2,640"
3,기아 더 뉴 스포티지 R::노블레스,"4,440","1,855","1,645","2,640"
1,기아 더 뉴 스포티지 R::럭셔리,"4,450","1,855","1,635","2,640"
2,기아 더 뉴 스포티지 R::에이스,"4,450","1,855","1,645","2,640"
1,토요타 Prius V::Prius V,"4,645","1,775","1,600","2,780"
1,지프 Cherokee::2.4 longitude AWD,"4,620","1,860","1,710","2,720"
2,지프 Cherokee::2.0 longitude AWD,"4,620","1,860","1,710","2,720"
3,지프 Cherokee::2.0 longitude AWD Black Edition,"4,620","1,860","1,710","2,720"
4,지프 Cherokee::2.0 limited 4WD,"4,620","1,860","1,710","2,720"
1,피아트 500C::1.4 convertible,"3,550","1,640","1,555","2,300"
1,아우디 A3::1.4 TFSI e-tron,"4,312","1,785","1,424","2,636"
1,벤츠 CLS-Class::CLS 250 BlueTEC 4Matic,"4,950","1,880","1,430","2,875"
1,애스턴마틴 DB9::6.0S,"4,710","1,875","1,318","2,745"
1,애스턴마틴 DB9::6.0S,"4,710","1,875","1,261","2,745"
1,애스턴마틴 Rapide S::6.0 S,"5,019","1,929","1,360","2,989"
1,애스턴마틴 Vanquish::6.0,"4,728","1,912","1,294","2,740"
1,애스턴마틴 Vanquish::6.0,"4,728","1,912","1,294","2,740"
1,맥라렌 650S::V8,"4,512","1,895","1,199","2,670"
1,맥라렌 650S::V8,"4,512","1,895","1,203","2,670"
1,쉐보레 어메이징 뉴 크루즈::LTZ,"4,515","1,790","1,475","2,685"
1,기아 카니발::VIP,"5,115","1,985","2,040","3,060"
2,기아 카니발::프레지던트,"5,115","1,985","2,040","3,060"
1,기아 카니발::프레지던트,"5,115","1,985","2,040","3,060"
1,기아 카니발::럭셔리,"5,115","1,985","2,040","3,060"
2,기아 카니발::프레스티지,"5,115","1,985","2,040","3,060"
3,기아 카니발::노블레스,"5,115","1,985","2,040","3,060"
1,기아 카니발::럭셔리,"5,115","1,985","2,040","3,060"
2,기아 카니발::프레스티지,"5,115","1,985","2,040","3,060"
1,기아 카니발::프레스티지 9인승,"5,115","1,985","2,040","3,060"
2,기아 카니발::프레스티지 11인승,"5,115","1,985","2,040","3,060"
1,아우디 New Q3::30 TDI Quattro Design Line, , , , 
2,아우디 New Q3::30 TDI Quattro Sport Line, , , , 
3,아우디 New Q3::35 TDI Quattro Design Line, , , , 
4,아우디 New Q3::35 TDI Quattro Sport Line, , , , 
5,아우디 New Q3::35 TDI Quattro Design Exclusive Edition, , , , 
6,아우디 New Q3::35 TDI Quattro Sport S Line Edition, , , , 
1,렉서스 ES::ES 350 Premium,"4,900","1,820","1,450","2,820"
2,렉서스 ES::ES 350 Supreme,"4,900","1,820","1,450","2,820"
3,렉서스 ES::ES 350 Executive,"4,900","1,820","1,450","2,820"
4,렉서스 ES::ES 300h Primium,"4,900","1,820","1,450","2,820"
5,렉서스 ES::ES 300h Supreme,"4,900","1,820","1,450","2,820"
6,렉서스 ES::ES 300h Executive,"4,900","1,820","1,450","2,820"
1,렉서스 GS::GS250 Supreme,"4,845","1,840","1,455","2,850"
2,렉서스 GS::GS350 Supreme,"4,845","1,840","1,455","2,850"
3,렉서스 GS::GS350 Executive,"4,845","1,840","1,455","2,850"
4,렉서스 GS::GS350 F SPORT,"4,845","1,840","1,455","2,850"
5,렉서스 GS::GS450h Supreme,"4,845","1,840","1,455","2,850"
1,렉서스 LS::LS 460 Supreme,"5,090","1,875","1,465","2,970"
2,렉서스 LS::LS 460 AWD,"5,090","1,875","1,465","2,970"
3,렉서스 LS::LS 460L Executive (5인승),"5,210","1,875","1,465","3,090"
4,렉서스 LS::LS 600hL Executive (4인승),"5,210","1,875","1,465","3,090"
5,렉서스 LS::LS 600hL Executive (5인승),"5,210","1,875","1,465","3,090"
1,렉서스 RX::RX 350 Supreme,"4,770","1,885","1,685","2,740"
2,렉서스 RX::RX 350 Executive,"4,770","1,885","1,685","2,740"
3,렉서스 RX::RX 350 F-Sport,"4,770","1,885","1,685","2,740"
4,렉서스 RX::RX 450h Supreme,"4,770","1,885","1,685","2,740"
5,렉서스 RX::RX 450h Executive,"4,770","1,885","1,685","2,740"
6,렉서스 RX::RX 450h F-Sport,"4,770","1,885","1,685","2,740"
1,벤츠 E-Class::E 200,"4,740","1,790","1,400","2,760"
2,벤츠 E-Class::E 400,"4,740","1,790","1,400","2,760"
1,벤츠 E-Class::E 200,"4,740","1,790","1,400","2,760"
2,벤츠 E-Class::E 400,"4,740","1,790","1,400","2,760"
1,시트로엥 C4 Cactus::Live,"4,157","1,729","1,480","2,595"
2,시트로엥 C4 Cactus::Feel,"4,157","1,729","1,480","2,595"
3,시트로엥 C4 Cactus::Shine,"4,157","1,729","1,480","2,595"
1,현대 아슬란::G300 Modern Basic,"4,970","1,860","1,470","2,845"
2,현대 아슬란::G300 Modern Special,"4,970","1,860","1,470","2,845"
3,현대 아슬란::G330 Premium,"4,970","1,860","1,470","2,845"
4,현대 아슬란::G330 Exclusive,"4,970","1,860","1,470","2,845"
1,아우디 A6::35 TDI Comfort,"4,933","1,874","1,455","2,912"
2,아우디 A6::35 TDI Premium,"4,933","1,874","1,455","2,912"
3,아우디 A6::40 TDI Quattro Comfort,"4,933","1,874","1,455","2,912"
4,아우디 A6::40 TDI Quattro Premium,"4,933","1,874","1,455","2,912"
5,아우디 A6::40 TDI Quattro Sport,"4,933","1,874","1,455","2,912"
6,아우디 A6::40 TFSI Quattro Sport,"4,933","1,874","1,455","2,912"
7,아우디 A6::40 TFSI Quattro Sport Tech,"4,933","1,874","1,455","2,912"
8,아우디 A6::50 TDI Quattro Premium,"4,933","1,874","1,455","2,912"
9,아우디 A6::50 TDI Quattro Premium Luxury,"4,933","1,874","1,455","2,912"
10,아우디 A6::50 TDI Quattro PremiumTech,"4,933","1,874","1,455","2,912"
11,아우디 A6::50 TFSI Quattro Sport,"4,933","1,874","1,455","2,912"
12,아우디 A6::50 TFSI Quattro Sport Tech,"4,933","1,874","1,455","2,912"
13,아우디 A6::55 TDI Quattro Premium,"4,933","1,874","1,455","2,912"
14,아우디 A6::55 TDI Quattro Premium Tech,"4,933","1,874","1,455","2,912"
15,아우디 A6::55 TDI Quattro Sport,"4,933","1,874","1,455","2,912"
16,아우디 A6::55 TDI Quattro Sport Tech,"4,933","1,874","1,455","2,912"
1,아우디 A6::S6 4.0 TFSi Quattro,"4,931","1,874","1,443","2,917"
2,아우디 A6::S6 4.0 TFSi Quattro Sport Design,"4,931","1,874","1,443","2,916"
1,아우디 A7::40 TFSI Quattro Premium,"4,984","1,911","1,420","2,914"
2,아우디 A7::40 TFSI Quattro Sport,"4,984","1,911","1,420","2,914"
3,아우디 A7::50 TDI Quattro Comfort,"4,984","1,911","1,420","2,914"
4,아우디 A7::50 TDI Quattro Premium,"4,984","1,911","1,420","2,914"
5,아우디 A7::50 TDI Quattro Sport,"4,984","1,911","1,420","2,914"
6,아우디 A7::50 TDI Quattro Sport Tech,"4,984","1,911","1,420","2,914"
7,아우디 A7::50 TFSI Quattro Comfort,"4,984","1,911","1,420","2,914"
8,아우디 A7::50 TFSI Quattro Premium,"4,984","1,911","1,420","2,914"
