,차종,전장(mm),전폭(㎜),전고(㎜),축거(㎜)
0,차종,전장(mm),전폭(㎜),전고(㎜),축거(㎜)
1,현대 뉴아반떼 XD::1.5 VVT GL 기본형,"4,525","1,725","1,425","2,610"
2,현대 뉴아반떼 XD::1.5 VVT GL 기본형,"4,525","1,725","1,425","2,610"
3,현대 뉴아반떼 XD::1.5 VVT GL 고급형,"4,525","1,725","1,425","2,610"
4,현대 뉴아반떼 XD::1.5 VVT GL 고급형,"4,525","1,725","1,425","2,610"
5,현대 뉴아반떼 XD::1.5 VVT GLS 기본형,"4,525","1,725","1,425","2,610"
6,현대 뉴아반떼 XD::1.5 VVT GLS 기본형,"4,525","1,725","1,425","2,610"
7,현대 뉴아반떼 XD::1.5 VVT DELUXE 기본형,"4,525","1,725","1,425","2,610"
8,현대 뉴아반떼 XD::1.5 VVT DELUXE 기본형,"4,525","1,725","1,425","2,610"
9,현대 뉴아반떼 XD::1.5 VVT GOLD 기본형,"4,525","1,725","1,425","2,610"
10,현대 뉴아반떼 XD::1.5 VVT GOLD 기본형,"4,525","1,725","1,425","2,610"
11,현대 뉴아반떼 XD::1.5 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
12,현대 뉴아반떼 XD::1.5 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
13,현대 뉴아반떼 XD::1.5 VVT GOLD 최고급형,"4,525","1,725","1,425","2,610"
14,현대 뉴아반떼 XD::1.5 VVT GOLD 최고급형,"4,525","1,725","1,425","2,610"
15,현대 뉴아반떼 XD::2.0 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
16,현대 뉴아반떼 XD::2.0 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
17,현대 뉴아반떼 XD::2.0 VVT GOLD 최고급형,"4,525","1,725","1,425","2,610"
1,현대 뉴아반떼 XD::1.5 VVT SPORTS 기본형,"4,520","1,720","1,425","2,610"
2,현대 뉴아반떼 XD::1.5 VVT SPORTS 기본형,"4,520","1,720","1,425","2,610"
3,현대 뉴아반떼 XD::1.5 VVT SPORTS 고급형,"4,520","1,720","1,425","2,610"
4,현대 뉴아반떼 XD::1.5 VVT SPORTS 고급형,"4,520","1,720","1,425","2,610"
5,현대 뉴아반떼 XD::1.5 VVT SPORTS 최고급형,"4,520","1,720","1,425","2,610"
6,현대 뉴아반떼 XD::1.5 VVT SPORTS 최고급형,"4,520","1,720","1,425","2,610"
7,현대 뉴아반떼 XD::2.0 VVT RACING 고급형,"4,520","1,720","1,425","2,610"
8,현대 뉴아반떼 XD::2.0 VVT RACING 고급형,"4,520","1,720","1,425","2,610"
9,현대 뉴아반떼 XD::2.0 VVT RACING 최고급형,"4,520","1,720","1,425","2,610"
10,현대 뉴아반떼 XD::2.0 VVT RACING 최고급형,"4,520","1,720","1,425","2,610"
1,현대 뉴그랜저XG::XG R20,"4,875","1,825","1,420","2,750"
2,현대 뉴그랜저XG::XG R20 STD,"4,875","1,825","1,420","2,750"
3,현대 뉴그랜저XG::XG R20 DLX,"4,875","1,825","1,420","2,750"
4,현대 뉴그랜저XG::XG S20 STD,"4,875","1,825","1,420","2,750"
5,현대 뉴그랜저XG::XG R25 STD,"4,875","1,825","1,420","2,750"
6,현대 뉴그랜저XG::XG S20 DLX,"4,875","1,825","1,420","2,750"
7,현대 뉴그랜저XG::XG R25 DLX,"4,875","1,825","1,420","2,750"
8,현대 뉴그랜저XG::XG S25 STD,"4,875","1,825","1,420","2,750"
9,현대 뉴그랜저XG::XG S30 STD,"4,875","1,825","1,420","2,750"
10,현대 뉴그랜저XG::XG S25 DLX,"4,875","1,825","1,420","2,750"
11,현대 뉴그랜저XG::XG S25 SUP,"4,875","1,825","1,420","2,750"
12,현대 뉴그랜저XG::XG S30 SUP,"4,875","1,825","1,420","2,750"
1,현대 뉴 베르나::1.3 GL STD,"4,260","1,680","1,395","2,440"
2,현대 뉴 베르나::1.5 GV STD,"4,260","1,680","1,395","2,440"
3,현대 뉴 베르나::1.5 GD STD,"4,260","1,680","1,395","2,440"
4,현대 뉴 베르나::1.5 GV DLX,"4,260","1,680","1,395","2,440"
5,현대 뉴 베르나::1.5 GD DLX,"4,260","1,680","1,395","2,440"
6,현대 뉴 베르나::1.5 GV SUP,"4,260","1,680","1,395","2,440"
7,현대 뉴 베르나::1.5 GD SUP,"4,260","1,680","1,395","2,440"
1,현대 뉴 베르나::1.3 L STD,"4,260","1,680","1,395","2,440"
2,현대 뉴 베르나::1.3 L DLX,"4,260","1,680","1,395","2,440"
3,현대 뉴 베르나::1.3 GL STD,"4,260","1,680","1,395","2,440"
4,현대 뉴 베르나::1.5 GV STD,"4,260","1,680","1,395","2,440"
5,현대 뉴 베르나::1.5 GD STD,"4,260","1,680","1,395","2,440"
6,현대 뉴 베르나::1.5 GV DLX,"4,260","1,680","1,395","2,440"
7,현대 뉴 베르나::1.5 GD DLX,"4,260","1,680","1,395","2,440"
8,현대 뉴 베르나::1.5 GV SUP,"4,260","1,680","1,395","2,440"
9,현대 뉴 베르나::1.5 GD SUP,"4,260","1,680","1,395","2,440"
1,현대 뉴 베르나::1.5 GD STD,"4,260","1,680","1,395","2,440"
2,현대 뉴 베르나::1.5 GD DLX,"4,260","1,680","1,395","2,440"
1,쌍용 뉴 체어맨::CM400S TRIUMP,"5,135","1,825","1,465","2,900"
2,쌍용 뉴 체어맨::CM400S MAJESTY,"5,135","1,825","1,465","2,900"
3,쌍용 뉴 체어맨::CM500S TRIUMP,"5,135","1,825","1,465","2,900"
4,쌍용 뉴 체어맨::CM500S MAJESTY,"5,135","1,825","1,465","2,900"
5,쌍용 뉴 체어맨::CM600S TRIUMP,"5,135","1,825","1,465","2,900"
6,쌍용 뉴 체어맨::CM600S MAJESTY,"5,135","1,825","1,465","2,900"
7,쌍용 뉴 체어맨::CM600L LIMOUSINE,"5,435","1,825","1,475","3,200"
1,한국GM 뉴 칼로스::1.5 DK,"4,250","1,670","1,495","2,480"
2,한국GM 뉴 칼로스::1.5 LK,"4,250","1,670","1,495","2,480"
3,한국GM 뉴 칼로스::1.5 DK,"4,250","1,670","1,495","2,480"
4,한국GM 뉴 칼로스::1.5 DIAMOND,"4,250","1,670","1,495","2,480"
5,한국GM 뉴 칼로스::1.5 LK,"4,250","1,670","1,495","2,480"
6,한국GM 뉴 칼로스::1.5 DIAMOND,"4,250","1,670","1,495","2,480"
1,기아 쎄라토::1.5 CVVT L STD,"4,480","1,735","1,470","2,610"
2,기아 쎄라토::1.5 CVVT L DLX,"4,480","1,735","1,470","2,610"
3,기아 쎄라토::1.5 CVVT LX DLX,"4,480","1,735","1,470","2,610"
4,기아 쎄라토::1.5 CVVT LX SUP,"4,480","1,735","1,470","2,610"
5,기아 쎄라토::1.5 CVVT SLX DLX,"4,480","1,735","1,470","2,610"
6,기아 쎄라토::1.5 CVVT GOLD SUP,"4,480","1,735","1,470","2,610"
7,기아 쎄라토::1.5 CVVT SLX SAFETY,"4,480","1,735","1,470","2,610"
8,기아 쎄라토::1.5 CVVT GOLD SAFETY,"4,480","1,735","1,470","2,610"
9,기아 쎄라토::2.0 CVVT GOLD SUP,"4,480","1,735","1,470","2,610"
10,기아 쎄라토::2.0 CVVT GOLD SAFETY,"4,480","1,735","1,470","2,610"
1,현대 에쿠스::GS 300(VALUE),"5,120","1,870","1,480","2,840"
2,현대 에쿠스::GS 300,"5,120","1,870","1,480","2,840"
3,현대 에쿠스::JS 300,"5,120","1,870","1,480","2,840"
4,현대 에쿠스::GS 350,"5,120","1,870","1,480","2,840"
5,현대 에쿠스::JS 300 VIP,"5,120","1,870","1,480","2,840"
6,현대 에쿠스::JS 350(VALUE),"5,120","1,870","1,480","2,840"
7,현대 에쿠스::JS 350(VALUE) VIP,"5,120","1,870","1,480","2,840"
8,현대 에쿠스::JS 350,"5,120","1,870","1,480","2,840"
9,현대 에쿠스::JS 350 VIP,"5,120","1,870","1,480","2,840"
10,현대 에쿠스::VS 450,"5,120","1,870","1,480","2,840"
11,현대 에쿠스::VS 450 VIP,"5,120","1,870","1,480","2,840"
12,현대 에쿠스::JL 350,"5,390","1,870","1,485","3,090"
13,현대 에쿠스::VL 450,"5,390","1,870","1,485","3,090"
1,기아 모닝::L,"3,495","1,595","1,480","2,370"
2,기아 모닝::LX DLX,"3,495","1,595","1,480","2,370"
3,기아 모닝::LX SUP,"3,495","1,595","1,480","2,370"
4,기아 모닝::SLX SUP,"3,495","1,595","1,480","2,370"
5,기아 모닝::LX SPECIAL,"3,495","1,595","1,480","2,370"
6,기아 모닝::SLX SPECIAL,"3,495","1,595","1,480","2,370"
1,한국GM 뉴 라세티::LUX DLX,"4,515","1,725","1,445","2,600"
2,한국GM 뉴 라세티::LUX SUP,"4,515","1,725","1,445","2,600"
3,한국GM 뉴 라세티::MAX DLX,"4,515","1,725","1,445","2,600"
4,한국GM 뉴 라세티::MAX SUP,"4,515","1,725","1,445","2,600"
5,한국GM 뉴 라세티::LUX DLX,"4,515","1,725","1,445","2,600"
6,한국GM 뉴 라세티::LUX SUP,"4,515","1,725","1,445","2,600"
7,한국GM 뉴 라세티::MAX DLX,"4,515","1,725","1,445","2,600"
8,한국GM 뉴 라세티::MAX SUP,"4,515","1,725","1,445","2,600"
9,한국GM 뉴 라세티::DIAMOND,"4,515","1,725","1,445","2,600"
10,한국GM 뉴 라세티::DIAMOND,"4,515","1,725","1,445","2,600"
1,한국GM 뉴 라세티::LUX,"4,295","1,725","1,445","2,600"
2,한국GM 뉴 라세티::MAX,"4,295","1,725","1,445","2,600"
3,한국GM 뉴 라세티::LUX,"4,295","1,725","1,445","2,600"
4,한국GM 뉴 라세티::MAX,"4,295","1,725","1,445","2,600"
5,한국GM 뉴 라세티::DIAMOND,"4,295","1,725","1,445","2,600"
6,한국GM 뉴 라세티::DIAMOND,"4,295","1,725","1,445","2,600"
1,현대 뉴그랜저XG::R20,"4,875","1,825","1,420","2,750"
2,현대 뉴그랜저XG::R20 STD,"4,875","1,825","1,420","2,750"
3,현대 뉴그랜저XG::R20 DLX,"4,875","1,825","1,420","2,750"
4,현대 뉴그랜저XG::S20 STD,"4,875","1,825","1,420","2,750"
5,현대 뉴그랜저XG::R25 STD,"4,875","1,825","1,420","2,750"
6,현대 뉴그랜저XG::S20 DLX,"4,875","1,825","1,420","2,750"
7,현대 뉴그랜저XG::R25 DLX,"4,875","1,825","1,420","2,750"
8,현대 뉴그랜저XG::S25 STD,"4,875","1,825","1,420","2,750"
9,현대 뉴그랜저XG::S30 DLX,"4,875","1,825","1,420","2,750"
10,현대 뉴그랜저XG::S25 DLX,"4,875","1,825","1,420","2,750"
11,현대 뉴그랜저XG::S25 SUP,"4,875","1,825","1,420","2,750"
12,현대 뉴그랜저XG::S30 SUP,"4,875","1,825","1,420","2,750"
1,현대 뉴 베르나::1.3 GL STD,"4,260","1,680","1,395","2,440"
2,현대 뉴 베르나::1.5 GV STD,"4,260","1,680","1,395","2,440"
3,현대 뉴 베르나::1.5 GV DLX,"4,260","1,680","1,395","2,440"
4,현대 뉴 베르나::1.5 GD STD,"4,260","1,680","1,395","2,440"
5,현대 뉴 베르나::1.5 GD DLX,"4,260","1,680","1,395","2,440"
6,현대 뉴 베르나::1.5 GV SUP,"4,260","1,680","1,395","2,440"
7,현대 뉴 베르나::1.5 GD SUP,"4,260","1,680","1,395","2,440"
1,현대 뉴 베르나::1.3 L STD,"4,260","1,680","1,395","2,440"
2,현대 뉴 베르나::1.3 L DLX,"4,260","1,680","1,395","2,440"
3,현대 뉴 베르나::1.3 GL STD,"4,260","1,680","1,395","2,440"
4,현대 뉴 베르나::1.5 GV STD,"4,260","1,680","1,395","2,440"
5,현대 뉴 베르나::1.5 GV DLX,"4,260","1,680","1,395","2,440"
6,현대 뉴 베르나::1.5 GD STD,"4,260","1,680","1,395","2,440"
7,현대 뉴 베르나::1.5 GD DLX,"4,260","1,680","1,395","2,440"
8,현대 뉴 베르나::1.5 GV SUP,"4,260","1,680","1,395","2,440"
9,현대 뉴 베르나::1.5 GD SUP,"4,260","1,680","1,395","2,440"
1,기아 모닝::L,"3,495","1,595","1,480","2,370"
2,기아 모닝::LX DLX,"3,495","1,595","1,480","2,370"
3,기아 모닝::LX SUP,"3,495","1,595","1,480","2,370"
4,기아 모닝::SLX SUP,"3,495","1,595","1,480","2,370"
5,기아 모닝::LX SPECIAL,"3,495","1,595","1,480","2,370"
6,기아 모닝::SLX SPECIAL,"3,495","1,595","1,480","2,370"
1,기아 쎄라토::1.5 CVVT L STD,"4,480","1,735","1,470","2,610"
2,기아 쎄라토::1.5 CVVT L DLX,"4,480","1,735","1,470","2,610"
3,기아 쎄라토::1.5 CVVT LX DLX,"4,480","1,735","1,470","2,610"
4,기아 쎄라토::1.5 CVVT LX SUP,"4,480","1,735","1,470","2,610"
5,기아 쎄라토::1.5 CVVT SLX DLX,"4,480","1,735","1,470","2,610"
6,기아 쎄라토::1.5 CVVT GOLD SUP,"4,480","1,735","1,470","2,610"
7,기아 쎄라토::1.5 CVVT SLX SAFETY,"4,480","1,735","1,470","2,610"
8,기아 쎄라토::1.5 CVVT GOLD SAFETY,"4,480","1,735","1,470","2,610"
9,기아 쎄라토::2.0 CVVT GOLD SUP,"4,480","1,735","1,470","2,610"
10,기아 쎄라토::2.0 CVVT GOLD SAFETY,"4,480","1,735","1,470","2,610"
1,쌍용 뉴 체어맨::CM400S TRIUMP,"5,135","1,825","1,465","2,900"
2,쌍용 뉴 체어맨::CM400S MAJESTY,"5,135","1,825","1,465","2,900"
3,쌍용 뉴 체어맨::CM500S TRIUMP,"5,135","1,825","1,465","2,900"
4,쌍용 뉴 체어맨::CM500S MAJESTY,"5,135","1,825","1,465","2,900"
5,쌍용 뉴 체어맨::CM600S TRIUMP,"5,135","1,825","1,465","2,900"
6,쌍용 뉴 체어맨::CM600S MAJESTY,"5,135","1,825","1,465","2,900"
7,쌍용 뉴 체어맨::CM600L LIMOUSINE,"5,435","1,825","1,475","3,200"
1,한국GM 다마스2::COACH 5 DLX,"3,230","1,400","1,920","1,840"
2,한국GM 다마스2::COACH 7 DLX,"3,230","1,400","1,920","1,840"
3,한국GM 다마스2::COACH 5 SUPER,"3,230","1,400","1,920","1,840"
4,한국GM 다마스2::COACH 7 SUPER,"3,230","1,400","1,920","1,840"
1,쌍용 뉴렉스턴::RX5 TI CT STD,"4,795","1,870","1,760","2,820"
2,쌍용 뉴렉스턴::RX5 TI CT DLX,"4,795","1,870","1,760","2,820"
3,쌍용 뉴렉스턴::RX5 TI STD,"4,795","1,870","1,760","2,820"
4,쌍용 뉴렉스턴::RX5 TI CT STD,"4,795","1,870","1,760","2,820"
5,쌍용 뉴렉스턴::RX5 TI DLX,"4,795","1,870","1,760","2,820"
6,쌍용 뉴렉스턴::RX5 TI CT DLX,"4,795","1,870","1,760","2,820"
7,쌍용 뉴렉스턴::RX5 TI STD,"4,795","1,870","1,760","2,820"
8,쌍용 뉴렉스턴::RX5 TI DLX,"4,795","1,870","1,760","2,820"
9,쌍용 뉴렉스턴::RX5 EDI DLX,"4,795","1,870","1,760","2,820"
10,쌍용 뉴렉스턴::RX5 EDI SUP,"4,795","1,870","1,760","2,820"
11,쌍용 뉴렉스턴::RX5 EDI DLX,"4,795","1,870","1,760","2,820"
12,쌍용 뉴렉스턴::RX5 EDI SUP,"4,795","1,870","1,760","2,820"
13,쌍용 뉴렉스턴::RX5 EDI NOBLESSE,"4,795","1,870","1,760","2,820"
1,현대 테라칸::EX 290 2WD STD,"4,710","1,860","1,795","2,750"
2,현대 테라칸::JX 290 2WD STD,"4,710","1,860","1,795","2,750"
3,현대 테라칸::JX 290 2WD DLX,"4,710","1,860","1,795","2,750"
4,현대 테라칸::JX 290 4WD SUP,"4,710","1,860","1,795","2,750"
5,현대 테라칸::JX 290 4WD SUP BLACK SPECIAL,"4,710","1,860","1,795","2,750"
6,현대 테라칸::JX 290 GOLD 4WD DLX,"4,710","1,860","1,795","2,750"
7,현대 테라칸::JX 290 GOLD 4WD DLX BLACK SPECIAL,"4,710","1,860","1,795","2,750"
8,현대 테라칸::JX 290 GOLD 4WD SUP,"4,710","1,860","1,795","2,750"
9,현대 테라칸::JX 290 GOLD 4WD SUP BLACK SPECIAL,"4,710","1,860","1,795","2,750"
1,기아 카니발2::9 TRIP DSL,"4,930","1,895","1,770","2,910"
2,기아 카니발2::9 LAND DSL,"4,930","1,895","1,770","2,910"
3,기아 카니발2::9 PARK DSL,"4,930","1,895","1,770","2,910"
4,기아 카니발2::9 PARK DSL PREMIUM,"4,930","1,895","1,770","2,910"
5,기아 카니발2::7 PARK GSL,"4,930","1,895","1,770","2,910"
1,기아 쎄라토::1.5 CVVT SLX WELL-BEING,"4,480","1,735","1,470","2,610"
2,기아 쎄라토::1.5 CVVT SPORTS,"4,480","1,735","1,470","2,610"
3,기아 쎄라토::2.0 CVVT GOLD SPORTS,"4,480","1,735","1,470","2,610"
4,기아 쎄라토::1.5 CVVT GOLD PRM,"4,480","1,735","1,470","2,610"
5,기아 쎄라토::1.5 CVVT GOLD PRM SPECIAL,"4,480","1,735","1,470","2,610"
6,기아 쎄라토::2.0 CVVT GOLD PRM SPECIAL,"4,480","1,735","1,470","2,610"
7,기아 쎄라토::1.5 CVVT SLX DLX,"4,340","1,735","1,470","2,610"
8,기아 쎄라토::1.5 CVVT SLX WELL-BEING,"4,340","1,735","1,470","2,610"
9,기아 쎄라토::1.5 CVVT GOLD SUP,"4,340","1,735","1,470","2,610"
10,기아 쎄라토::1.5 CVVT GOLD SPORTS,"4,340","1,735","1,470","2,610"
11,기아 쎄라토::1.5 CVVT GOLD SAFETY,"4,340","1,735","1,470","2,610"
12,기아 쎄라토::1.5 CVVT GOLD PRM,"4,340","1,735","1,470","2,610"
